Title,Author,Date,Content,Image Path,Article URL,Markdown File
"Rick Watts, California",Ariella Granett,2025-08-29 00:00:00 +0300,"I am highly worried about the future of our planet. There are 1400+ million metric tons of carbon in the melting permafrost; this is just one example of positive carbon emission feedbacks the planet is facing. Furthermore, AI and bitcoin are energy intensive, which is sending the earth's carbon footprint in the wrong direction.I am an outdoor enthusiast, but I find no reason to fly to the Alps, Patagonia, and other foreign mountain ranges to backpack and climb. The Wind River range, the Sierra Nevada, the Canadian Rockies. and other destinations in North America offer at least as much in scenery and adventure as those to which you have to fly. Moreover, they can be reached by driving an electric vehicle. I'm extremely happy to venture into our own mountains without flying 10-20 hours to crowded mountains overseas.",/images/Rick+Watts.jpeg,https://flightfree.org/stories-6/rick-watts-california,2025-08-29-rick-watts-california.md
"Steve Sikora, Florida",Ariella Granett,2025-08-02 00:00:00 +0300,"Since the summer of 2022, I decided to go flight-free (and also car-free) — I have used my bike and the train to cover all of my traveling wants and needs. And these are changes I have thoroughly enjoyed making! My experience has taught me that being intentional about how we travel helps put a lot of things in the right perspective. I look forward to keeping this commitment during the climate emergency we are living in and beyond.",/images/IMG_3356.jpg,https://flightfree.org/stories-6/steve-sikora-florida,2025-08-02-steve-sikora-florida.md
"Matt Karl, Minnesota",Ariella Granett,2025-07-15 00:00:00 +0300,"Flying is the dirtiest (most CO2-heavy) activity millions of us do every year. Given the climate emergency we're in, it's really a no-brainer to simply stop flying. The sooner more of us forgo planes and opt for trains, bikes, electric cars, etc., the sooner the air-travel industry will come up with a way to fly carbon-free. As long as dirty flying is popular (and profitable), they have little motivation to change their ways. I sometimes think about the sacrifices my father and mother made during WWII in order to save our country and the world from certain doom. Giving up flying is the LEAST we can do today to help save our country and the world from tomorrow's climate disasters.",/images/IMG_6923+Trimmed.JPG,https://flightfree.org/stories-6/matt-karl-minnesota,2025-07-15-matt-karl-minnesota.md
"Ben Capraro, Massachusetts",Ariella Granett,2025-07-08 00:00:00 +0300,"By choosing not to fly I intend to lower the demand such that fewer commercial flights will be scheduled in the future.I hope that my choices alert others to alternatives to flight transportation.I have saved 16,200 mi flight travel (personal, non-essential) since pledging to not fly in 2022.",/images/bc.png,https://flightfree.org/stories-6/ben-capraro-massachusetts,2025-07-08-ben-capraro-massachusetts.md
"Allegra Lovejoy, NY",Ariella Granett,2025-06-15 00:00:00 +0300,"Since 2019, I've pledged to take no more than one flight per year. Living locally keeps us more peaceful, happy, grounded, and involved in our local communities - in addition to reducing our carbon footprint. Life here is enough.",/images/image0.jpeg,https://flightfree.org/stories-6/allegra-lovejoy-ny,2025-06-15-allegra-lovejoy-ny.md
"Bruce Maxwell, CA",Ariella Granett,2025-06-15 00:00:00 +0300,"I've been aware of the outsized impact of airline flying since becoming acquainted withwww.footprintnetwork.orgin the early 2000s. This group won the top award from the Nobel Sustainability Trust in 2024. I learned about FlightFree.org at the Kinetic Grand Championship in Humboldt County, California, where the FLYtLESS kinetic sculpture took top prize in this ""triathlon of the art world."" These achievements represent, in my opinion, the new definitions of ""success"" and ""glamour."" It's great to know a little about the wide, wide world, but there are plenty of ways to do that without flying in airplanes.",/images/2022+lightened4+%281%29.jpg,https://flightfree.org/stories-6/bruce-maxwell-ca,2025-06-15-bruce-maxwell-ca.md
"Ashley Strobridge, Vermont",Ariella Granett,2025-06-15 00:00:00 +0300,"I haven't flown since 2001 due to my neurodivergencies, and later, due to my size due to medications I take for my neurodivergencies. I now also refuse to fly due to the dangers from FAA cuts, due to the flagrant constitutional violations of ICE, and due to the Climate Crisis that is exacerbated by flight emissions. I pledge to continue to be flight free until the Climate Crisis, and all of the other above issues, are addressed!",/images/ProfilePhoto.jpg,https://flightfree.org/stories-6/ashley-strobridge-vermont,2025-06-15-ashley-strobridge-vermont.md
"Robert van de Walle, California",Ariella Granett,2025-04-30 00:00:00 +0300,"I'm co-captain of Team Pineapple, an arts, engineering and athletics team competing in the Kinetic Grand Championship sculpture race. Our sculpture this year is FLYtLESS, which tells the story of hyper-entitlement and climate crisis using absurdity and irony. It's an airplane crashed in Antarctica, complete with penguins and ice floes, and a destination wedding gone horribly wrong just for viral social media content. We're encouraging spectators to visit Fligh Free USA to make their own pledges to become Flight Free.https://www.trashlantis.com/adopt-a-penguin",/images/FLYtLESS+front+view+Mark+Fernquest.jpg,https://flightfree.org/stories-5/robert-van-de-walle-california,2025-04-30-robert-van-de-walle-california.md
"Marilyn Wann, California",Ariella Granett,2025-04-30 00:00:00 +0300,"I am not willing to fly, because even with an N95 mask, I would risk getting covid, which can do lasting harm. I am not willing to fly because the Republican administration is making flying unsafe. I am not willing to fly because my interest in the world is not worth destroying the world.Marilyn Wann, author of “FAT!SO? Because you DON'T have to APOLOGIZE for your size!”http://www.fatso.com/",/images/IMG_3920.JPG,https://flightfree.org/stories-5/marilyn-wann-california,2025-04-30-marilyn-wann-california.md
"Jacob Klaameyer, Wisconsin",Ariella Granett,2025-04-29 00:00:00 +0300,"Drove more than the circumference of the Earth in a Prius to visit family last year on my year of no flights! A ton of travel and emissions, but still much less than flying and I was able to adventure and appreciate local cultures, flora, and fauna on the way. When back home the car sat idle as I pedaled my smiles per mile device.Cheers to all those who are trying to be better for others!",/images/20240710_140712.jpg,https://flightfree.org/stories-5/jacob-klaameyer-wisconsin,2025-04-29-jacob-klaameyer-wisconsin.md
